kata,terjemahan,penjelasan_arti,contoh
Icca',Ngomong tidak jelas,Turunan: Cak-icaknye (Ngomong tidak jelas); Singinca'an (Seolah-olah),
Immut,"Sesuatu yang bergerak perlahan, menarik dan lucu seperti mulut bayi misalnya","Turunan: Imut-imut (Meniru / sandiwara); Ceramut (Menarik, cantik / tampan)",
Ikkal,Ikal / rambut bergelombang,,
Inggus,Lendir yang keluar dari lubang hidung,Turunan: Ingusan (Keluar ingus terus-terusan),
Incamai,Menyemai benih,,
Ittam-laggam,Sangat hitam,,
Ingkalan,Dermaga / pangkalan pemandian di pinggir sungai,,
Ijau-mayau,Extra hijau,,
Incarut,Ngomong jorok,,
Jabbul,Menonjol,Turunan: Tejabbul (Menonjol); Jabbule' (Tersembul),
Jerada'k,Semak belukar,,
Jikku,Menurutku,,
Jinye,Katanya,,
Jagge-jagge,Awas kamu harus bertanggungjawab,,
Jimmu,Kata kamu,,
Jope,Mengapa,,
Jak,Saja,,
Jolor,Menjulur,Turunan: Jolor-padat (Menjulur),
Jajjal,Jahil,,
Jaller,Menjulurkan lidah,Turunan: Tejaller (Menjulurkan lidah Galah); Tejaller,
Jullok Nyullok,Mengambil dengan bantuan galah,,
Jangkung,Tinggi semampai,Turunan: Jelangkung (Tinggi semampai),
Jubbor,Dubur / lubang pantat,,
Julling,Mata kanan dan kiri tidak bisa singkron,,
Jannat,Almahrum,,
Jappo',Lembab / Agak basah,,
Junggak,Mulut terbuka,Turunan: Tejerungap (Mulut yang terbuka terus),
Japput,Mengambil dengan ujung jari,,
Jantek,Menyentil,,
Jerambab,Terjebak dan jatuh,Turunan: Tejerambab (Terjebak dan jatuh),
Jannun,Empat hari mendatang,,
Jujjut / Nyujjut,Tarik / menarik,,
Jallu,Buaya,,
Jandol,Dahi yang menonjol; Dahi yang luas,,
Jamban,Tangga ke sungai,,
Jarreh,Jerih / Upaya,Turunan: Malas Jarreh (Pemalas); Dak Jarreh (Dak usah repot); Bejereh (Upaya dalam menelusuri silsilah keluarga),
Jonga'k,Gusi dan gigi yang maju ke depan,,
Ka'keradak,Tergesa-gesa / belum siap,,
Kerabbok,Mencakar,,
Kaca',Bening / cantik / tampan,,
Keradak,Sisa,,
Kaccak,Injak,,
Keraok,Teriak,Turunan: Keraokke' (Teriak); Ka' keraok (Diteriaki); Keraok-kepadau (Teriak-teriak); Keraok-kepakek (Teriak-teriak tak karuan),
Kaba'k,,Turunan: Nak dare kaba (Gadis perawan berumur yang kesulitan menemukan jodohnya),
Kerewak,Sombong / Angkuh,,
Kerubbong,Cangkang / Bungkusan,,
Ketot,Bengkok,,
Kaleh,Pindah,Turunan: Bekaleh (Pindah),
Kentot,Senggama,,
Kinni,Kini / sekarang,Turunan: kinnito' (Kini / sekarang),
Kalleh,Toleh,,
Kalla'k,Nanti,,
Kissar,Putar,Turunan: Kisaran (Putar),
Kallat,Kelat,,
Kalimpapat,Kunang-kunang,,
Koset,Tidak mau / mustahil,,
Kalimpapatan,Kelilipan,,
Kotang,Kutang / BH,,
Kamo',Tamak / tidak mau berbagi,,
Koyak,Sobek,,
Kan age',Bukan main,,
Kanna',Mengenai,,
Kanda'ang,Seharusnya,Turunan: Kanda'nye (Seharusnya),
Kubik,Cubit,,
Kullot,Celana pendek,,
Kannyat,Kebiasaan,Turunan: Ngannyat (Menjadi kebiasaan),
Kullup,Belum di khitan,,
Kapas-kapus,Kepas-kepos,,
Kumbo',Menutup dengan kain,Turunan: ngumbo' (Menutup dengan kain); bekumbo' (Menutupi),
Karrap,Kerap / sering,,
Karro',Keras,,
Karrau,Agak keras,,
Kungkong,Kalung,,
Kase',Bersin,,
Kutting,,Turunan: Parang kutting (Pisau yang tidak ada pegangannya),
Kassang / keseng,Salah tingkah karena menahan malu,,
Kuttis,Cubit menggunakan kuku,,
Kato',Celana pendek,Turunan: Kato' sampak (Celana pendek); kato' lidder (Celana dalam wanita),
Kolot,Nora' / Ketinggalan zaman,,
Kuali,Wajan,,
Ketel (kettle),Ceret,,
Kattok,Getuk,,
Kenceng,Media khusus untuk menanak nasi,,
Kedakkut,Pelit / medit,,
Keminting,Pelit,,
Kumping,Tidak berisi,,
Kemponan,Celaka akan didapat kerena tidak mencicipi sesuatu (makanan) yang diinginkan,,
Kojor / Bujjo'r,Bujur / lurus,,
Keseng,Salah tingkah karena ketahuan kebobrokannya,,
Kallos,Longgar,,
Kattam,Ketam,,
Kajjong,Duduk dengan meluruskan kaki,,
Kattam kayu,Pelicin kayu / ketam kayu,,
Pengatam,Alat pemotong tradisional untuk panen padi,,
Kelintau-kelintau,Mondar-mandir Mengelilingi sesuatu,,
Kurongan,Rumah binatang,,
Kase',Bersin,,
Koreng,Luka besar dan lebar,Turunan: Korengan,
Kukus,Memasak dengan uap air,,
Kambe',Arwah gentayangannya,Turunan: Antu Kambe' ((hantu) kambing),
Kincik / Tekincik,Buang air besar sedikit di dalam celana karena tidak tertahankan lagi,Turunan: Ngincik,
Karrat / Ngarrat,Memotong,,
Kakus,WC,,
Kancai,Lumat habis terinjak-injak,,
Kajjong,Meluruskan kaki,Turunan: Tekajjong,
Kako',Kaku,,
Konyap-konyap,Komat-kamit tanpa ada Yang dimakan,,
Kalinsamme,Deman flu dan pilek,,
Kaddau,Tidak jelas / remang-remang,,
Kaccik,Kecil,Turunan: Singaccik (Anak kecil semua); Singaccikan (Menemukan / mencari yang paling kecil),
Killa'ang,Kata hubung untuk kalimat pertentangan,,
Kak-kericik,Gerombolan anak kecil,,
Kemol,Tembem,,
Kamput,Hanya mengikat di ujung Setelah di bungkus,,
Kuttong,Buntung,,
Karrat,Potong,,
Kael,Pancingan,Turunan: Mate kael (Mata pancing); Ngael (Memancing),
Lade,Lada,,
Lalu,Lewat,,
Ladde,Sadar,Turunan: Meladde (Sadar); Da'an kelada'an (Terbangun dari tidur),
Lawang,Pintu,,
Leke,Lengah,,
Lentar,Halilintar,,
Lading,Pisau,Turunan: Lading Pisso' (Pisau),
Limpas,Lewat,,
Lingngau,Linglung,,
Laja'kan,Selalukan / teruskan / lanjutkan,,
Lintok,Pojok sempit,,
Lisse,Kelebihan bergerak,,
Lamber,Membesar / tidak lagi pas ukurannya,,
Lissoh / lusoh,Badan kepanasan,,
Loke',Pelit,,
Lamis,Orang yang bicaranya ceplas-ceplos,,
Lonsoran,Barang bekas / second,,
Lorong,Jalan Raya,,
Lampus,Melewati kepala,,
Lotar / Melotar,Lempar / Melempar,,
Langgis,Habis tidak bersisa,,
Luroh,Jatuh kebawah,,
Langngut,Cewek yang pemalu / Sangat sopan,,
Lintup,Dibelakang,,
Lingkup,Menutup,Turunan: Melingkup (Menutupi jemuran karena hari mau hujan),
Lanjit,Genit / centil (khusus cewek),,
Lassong,Lubang,Turunan: Lassong pipit (Lubang); Tebelassong (Lesung pipit),
Linggang,Goncang,Turunan: Perahu (Goncang); belinggang (Perahu oleng); Perahu belinggang (Perahu oleng),
Lati,Terlumat habis,,
Langau,Binatang sejenis lalat,,
Lawa,Sombong,,
Langkaw,Tempat spesial untuk menjemur padi,,
Laccah,Basah,Turunan: Pelaccahan (Basah),
Langkau,Langkah,Turunan: Langkaue' (Melangkahi); Melangkau (Melangkah tidak sesuai urutan),
Lakka',Sehabis / Selesai / Setelah,Turunan: Lakka' iye (Sehabis / Selesai / Setelah),
Lubbo',Karung padi dari pandan,,
Lubbok,Lubuk (sungai yang dalam),,
Lekong,Selingkuhan,,
Labbik,Jatuh kebawah,Turunan: Belabbik (Jatuh kebawah); Melabbi' (Terjatuh),
Lekok,Lekukan,Turunan: Melekok (Lekukan),
Lasso',Buah yang sudah busuk,,
Labang,Mata senjata tajam yang bolong,,
Lassing,Bau busuk,,
Lassot,Bau paling busuk,,
Lappa',Telapak,,
Labbas,Terlampau matang,,
Lappa' Ayam,Kaki kosong tanpa sandal / Sepatu / alas lainnya,,
Lobos,Lepas kendali,,
Linsai,Keadaan mereda dan lengang,,
Labbak,Besar,,
Lampam,Tebal / tembem,,
Labang,Bolong di pinggir,,
Lele'k,Posisi kepala yang miring,,
Parang labang,Mata yang rusak karena terkena logam lain atau benda keras,,
Tilele',Kepalanya miring terus,,
Langgak,Kepala yang melihat keatas,,
Layyak,Jahe,,
Lene,Lena / Terlena,,
Liccak,Lecet,,
Langgar,Belang-belang,Turunan: Belanggar,
Labbas / lebas,Besar,,
Pala' Langgar,Kepala yang rambutnya digunting acak-acakan,,
Lantaran,Oleh karena,,
Pelantaran,Teras / depan rumah,,
Lamba',Berlama-lama,Turunan: Belamba' (Berlama-lama dalam air),
Layau,Berjalan dengan goyah,,
Lumba',Lomba,,
Siau-layau,Lalu-lalang,,
Lego,Jualan yang laris manis,,
Loak,Barang lama / barang bekas,,
Lintang-pungkang,Melintang-lintang tak tentu arah,,
Pasar loak,Pasar yang menjual barang-barang lama / barang bekas,,
Nyomol,Menyembul,,
Maccam,Seperti,Turunan: Macam na' ape (Seperti); Macam antu (Seperti apa),
Melantung,Meloncat,,
Melarrah,Merembes; menjalar ke tempat lain,,
Maccor,Berliur karena menahan keinginan untuk melahap makanan enak,,
Meradak,Makan dengan rakus,,
Meramput,Mengada-ada,,
Merannah,"Diam, tidak kemana-mana",,
Madat,Masuk kedalam,,
Mesen,Berhias / bermake up,,
Maddas,Sadar / waras,,
Maddas-maddas,Jangan kelewatan kelakuan,,
Miang,Gatal / kegatalan,,
Ae'k maddas,Air putih,,
Midding,Pakis,,
Mado',Madu / beristri lebih dari satu,,
Mincat,Keluar sedikit-sedikit,,
Molah,Membuat,,
Malar,Selalu,,
Mulang-memulangkan,Serah terima,,
Mallar / Ngallar,Memutar dengan telapak tangan,,
Mukkong,Cekung / cembung,,
Malat,Membuka penutup kelamin pria pada anak yang belum di khitan,,
Mulla' / mullo' / Bulla',Bohong,Turunan: Bulla' (Bohong),
Mullak,Kembali lagi,,
Mangkar,Mekar,,
Mun,Kalau / seandainya,,
Mare,Bergerak maju / berangkat,Turunan: Mare kumme (bergerak maju / berangkat); Da'an mare (Berangkat kesawah),
